Time,Share
1483253733,0.20415879017013233
1483315327,0.19025050778605282
1483401621,0.19515477792732167
1483488246,0.18873239436619718
1483575243,0.18281036834924966
1483660979,0.1820689655172414
1483747204,0.17614424410540916
1483834286,0.20608575380359612
1483920070,0.19099590723055934
1484006666,0.1747638326585695
1484093814,0.18074792243767313
1484179345,0.2421193829644534
1484266181,0.1958981612446959
1484352018,0.18150917743031952
1484439339,0.194141689373297
1484525859,0.21643286573146292
1484611327,0.23855092276144907
1484697835,0.2727895819054147
1484784051,0.26196990424076605
1484870449,0.26548672566371684
1484957139,0.2532781228433402
1485043305,0.27140883977900554
1485129857,0.27448275862068966
1485216184,0.30817174515235457
1485302927,0.2784636488340192
1485388909,0.2976271186440678
1485475270,0.279810298102981
1485562004,0.29388029589778075
1485648020,0.2705084745762712
1485734413,0.3102990033222591
1485820846,0.3180887372013652
1485907329,0.3253094910591472
1485993764,0.3224711473183978
1486080127,0.29768392370572205
1486166584,0.2888135593220339
1486252983,0.2784636488340192
1486339425,0.2764060356652949
1486426103,0.2860068259385666
1486512088,0.28464163822525596
1486598786,0.297111416781293
1486684877,0.16010854816824965
1486771279,0.18022440392706873
1486857645,0.20416386836803224
1486944149,0.19507186858316222
1487030710,0.23861318830727396
1487117401,0.23842432619212164
1487203248,0.2204778156996587
1487290773,0.22237380627557982
1487376292,0.25204359673024523
1487462502,0.23471539002108222
1487548801,0.2613168724279835
1487635537,0.2534837425348374
1487721702,0.2376502002670227
1487809274,0.23740510697032435
1487895173,0.249485949280329
1487981118,0.2419465387251542
1488067284,0.32714776632302406
1488153890,0.3419442556084296
1488240000,0.32434254888739045
1488326638,0.3349282296650718
1488412821,0.316817864619679
1488499356,0.2551299589603283
1488585933,0.21697467488021902
1488672033,0.21745152354570638
1488758778,0.207088255733148
1488844822,0.21586206896551724
1488931416,0.23956194387405885
1489017688,0.2088607594936709
1489104019,0.20830496936691628
1489190767,0.2055363321799308
1489277175,0.22872702518720217
1489363211,0.21384928716904278
1489449650,0.24029952348536418
1489536057,0.226215644820296
1489622870,0.2310866574965612
1489708811,0.24311294765840222
1489795305,0.22465753424657534
1489881669,0.23163051084674596
1489968643,0.23521224773834376
1490054506,0.24641638225255974
1490140841,0.22585034013605443
1490227693,0.1977715877437326
1490313765,0.19769021739130435
1490400064,0.22260509993108202
1490486552,0.17993079584775087
1490573413,0.15501730103806227
1490660873,0.13379310344827586
1490765031,0.1499659168370825
1490832286,0.17063222297756628
1490918527,0.14099037138927098
1491004802,0.139196675900277
1491091742,0.1417004048582996
1491177901,0.1401541695865452
1491264108,0.1315426997245179
1491350600,0.09002770083102493
1491437727,0.09004739336492891
1491523218,0.10673011556764106
1491609892,0.10684931506849316
1491696475,0.10897875257025359
1491782692,0.11817553559087768
1491868860,0.09375
1491955531,0.12284334023464458
1492042321,0.1206896551724138
1492128208,0.13172804532577903
1492215125,0.14613778705636743
1492320550,0.13730929264909847
1492387582,0.13702623906705538
1492473616,0.12193412754029433
1492560298,0.12083333333333333
1492648254,0.5241990456714383
1492732938,0.4175513092710545
1492846075,0.16073871409028728
1492905833,0.1456445993031359
1492992092,0.15584415584415584
1493078894,0.5974632843791722
1493164870,0.6377204884667571
1493251256,0.611716621253406
1493337610,0.6909581646423751
1493424061,0.6821548821548822
1493510423,0.6707650273224044
1493596936,0.6369209809264306
1493683201,0.6263513513513513
1493769716,0.6236338797814208
1493856137,0.5612594113620808
1493942404,0.5262054507337526
1494028853,0.3797381116471399
1494115345,0.41164383561643836
1494201867,0.3532684283727399
1494288107,0.3359375
1494374441,0.35881104033970274
1494461009,0.33402922755741127
1494547392,0.4045020463847203
1494634194,0.3753443526170799
1494720035,0.3366906474820144
1494806407,0.38186813186813184
1494893096,0.36529041287613717
1494979298,0.3384615384615385
1495065845,0.31676136363636365
1495152000,0.2709815078236131
1495238642,0.3007784854918613
1495324909,0.2710674157303371
1495411250,0.2709677419354839
1495497668,0.2702513966480447
1495584110,0.3014967925873129
1495670486,0.29016277423920733
1495757044,0.2850174216027875
1495843217,0.2873481057898499
1495929718,0.3051209103840683
1496016245,0.3482142857142857
1496102657,0.3478566408995081
1496188855,0.34901685393258425
1496275264,0.3525127458120903
1496361644,0.3435714285714286
1496448031,0.3649425287356322
1496534443,0.3871191135734072
1496620976,0.3503909026297086
1496707312,0.3409090909090909
1496793672,0.337966349670812
1496880494,0.34339080459770116
1496966755,0.33594306049822065
1497052918,0.3641141141141141
1497139292,0.3381607530774801
1497225756,0.28350515463917525
1497312026,0.26174981923355023
1497398403,0.30462633451957294
1497485047,0.34048640915593703
1497571286,0.3389090909090909
1497657689,0.3451635351426583
1497744418,0.35611510791366907
1497830422,0.353405017921147
1497916935,0.36129032258064514
1498003500,0.33405797101449275
1498089639,0.3641660597232338
1498176106,0.35795454545454547
1498262431,0.3564139941690962
1498348841,0.3417630057803468
1498435229,0.3372093023255814
1498521658,0.34419263456090654
1498608926,0.3301610541727672
1498694400,0.3352727272727273
1498780828,0.3328519855595668
1498867464,0.36231884057971014
1498953816,0.3605150214592275
1499040023,0.3411602209944751
1499126501,0.33959537572254334
1499212949,0.3495286439448876
1499299266,0.36330935251798563
1499385701,0.361211247296323
1499472065,0.36443148688046645
1499558439,0.3591600289645185
1499644845,0.36279401282965074
1499731205,0.3614374568071873
1499817680,0.353528153955809
1499904042,0.3670977011494253
1499990503,0.3679312813171081
1500076815,0.35046395431834404
1500163247,0.3973738769868694
1500249754,0.3547224224945926
1500336348,0.35811293781272335
1500422409,0.3524822695035461
1500508819,0.36594202898550726
